Класс;Код Клиента;Квартал
непостоянные приверженцы;1022252585;01.04.2017
активные приверженцы;1022252585;01.07.2017
непостоянные приверженцы;1022252585;01.10.2017
частичные приверженцы;10226651715;01.01.2016
непостоянные приверженцы;10226651715;01.04.2016
без предпочтений;10226651715;01.07.2016
активные приверженцы;10226651715;01.10.2016
непостоянные приверженцы;10226651715;01.01.2017
активные приверженцы;10226651715;01.04.2017
активные приверженцы;10226651715;01.07.2017
активные приверженцы;10226651715;01.10.2017
непостоянные приверженцы;10229862944;01.01.2016
непостоянные приверженцы;10229862944;01.04.2016
активные приверженцы;10229862944;01.07.2016
без предпочтений;10229862944;01.10.2016
непостоянные приверженцы;10229862944;01.01.2017
активные приверженцы;10229862944;01.04.2017
активные приверженцы;10229862944;01.07.2017
непостоянные приверженцы;10229862944;01.10.2017
непостоянные приверженцы;10230161029;01.01.2016
непостоянные приверженцы;10230161029;01.04.2016
активные приверженцы;10230161029;01.07.2016
непостоянные приверженцы;10230161029;01.10.2016
непостоянные приверженцы;10230161029;01.01.2017
непостоянные приверженцы;10230161029;01.04.2017
активные приверженцы;10230161029;01.07.2017
активные приверженцы;10230161029;01.10.2017
активные приверженцы;10230237971;01.01.2016
активные приверженцы;10230237971;01.04.2016
активные приверженцы;10230237971;01.07.2016
непостоянные приверженцы;10230237971;01.10.2016
активные приверженцы;10230237971;01.01.2017
частичные приверженцы;10230237971;01.04.2017
активные приверженцы;10230237971;01.07.2017
активные приверженцы;10230237971;01.10.2017
непостоянные приверженцы;1023843358;01.01.2016
активные приверженцы;1023843358;01.04.2016
частичные приверженцы;1023843358;01.07.2016
активные приверженцы;1023843358;01.10.2016
активные приверженцы;1023843358;01.01.2017
активные приверженцы;1023843358;01.04.2017
активные приверженцы;1023843358;01.07.2017
частичные приверженцы;1023843358;01.10.2017
активные приверженцы;1023937112;01.01.2016
активные приверженцы;1023937112;01.04.2016
частичные приверженцы;1023937112;01.07.2016
непостоянные приверженцы;1023937112;01.10.2016
активные приверженцы;1023937112;01.01.2017
активные приверженцы;1023937112;01.04.2017
активные приверженцы;1023937112;01.07.2017
непостоянные приверженцы;1023937112;01.10.2017
непостоянные приверженцы;1024172711;01.01.2016
непостоянные приверженцы;1024172711;01.04.2016
